"","CCIS00146684ST-4-0","CCIS00281083ST-3-0","CCIS02124300ST-4-0","CCIS02379307ST-4-0","CCIS02856720ST-4-0","CCIS03473770ST-4-0","CCIS03857607ST-4-0","CCIS05314658ST-4-0","CCIS06260551ST-3-0","CCIS07277498ST-4-0","CCIS07539127ST-4-0","CCIS07648107ST-4-0","CCIS08668806ST-3-0","CCIS09568613ST-4-0","CCIS10706551ST-3-0","CCIS10793554ST-4-0","CCIS11015875ST-4-0","CCIS11019776ST-4-0","CCIS11354283ST-4-0","CCIS11362406ST-4-0","CCIS11558985ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS13047523ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS15794887ST-4-0","CCIS16326685ST-4-0","CCIS16383318ST-4-0","CCIS16561622ST-4-0","CCIS17669415ST-4-0","CCIS19142497ST-3-0","CCIS20795251ST-4-0","CCIS21126322ST-4-0","CCIS21278152ST-4-0","CCIS22275061ST-4-0","CCIS22416007ST-4-0","CCIS22906510ST-20-0","CCIS22958137ST-20-0","CCIS23164343ST-4-0","CCIS24254057ST-4-0","CCIS24898163ST-4-0","CCIS25399172ST-4-0","CCIS27304052ST-3-0","CCIS27927933ST-4-0","CCIS28384594ST-4-0","CCIS29210128ST-4-0","CCIS29688262ST-20-0","CCIS31434951ST-20-0","CCIS32105356ST-4-0","CCIS32452666ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS34604008ST-4-0","CCIS35092938ST-4-0","CCIS35100175ST-4-0","CCIS36699628ST-4-0","CCIS36797902ST-4-0","CCIS37250421ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS41692898ST-4-0","CCIS41806458ST-4-0","CCIS44093303ST-4-0","CCIS44676181ST-4-0","CCIS44743950ST-4-0","CCIS44757994ST-4-0","CCIS45571137ST-3-0","CCIS45793747ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS47745468ST-4-0","CCIS48174381ST-4-0","CCIS48507077ST-4-0","CCIS48579360ST-4-0","CCIS48725289ST-4-0","CCIS50003399ST-4-0","CCIS50148151ST-4-0","CCIS50369211ST-20-0","CCIS50471204ST-4-0","CCIS50561855ST-4-0","CCIS51595129ST-4-0","CCIS51667829ST-4-0","CCIS52234160ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS53557295ST-4-0","CCIS54027808ST-4-0","CCIS55230578ST-4-0","CCIS55531770ST-4-0","CCIS56503244ST-3-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS59903910ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS63448910ST-4-0","CCIS63468405ST-4-0","CCIS63910149ST-4-0","CCIS64773582ST-4-0","CCIS64785924ST-20-0","CCIS65479369ST-4-0","CCIS70398272ST-4-0","CCIS71301801ST-4-0","CCIS71578391ST-4-0","CCIS72607085ST-4-0","CCIS74239020ST-4-0","CCIS74726977ST-3-0","CCIS76563044ST-4-0","CCIS76845094ST-20-0","CCIS77100899ST-4-0","CCIS77252613ST-4-0","CCIS78100604ST-4-0","CCIS78318719ST-4-0","CCIS79210440ST-3-0","CCIS80834637ST-4-0","CCIS81139242ST-4-0","CCIS81710917ST-20-0","CCIS81735969ST-20-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS82507866ST-3-0","CCIS82944710ST-20-0","CCIS83445808ST-4-0","CCIS83574003ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87290971ST-4-0","CCIS87605453ST-4-0","CCIS88007743ST-4-0","CCIS88317640ST-4-0","CCIS90164298ST-4-0","CCIS90166425ST-4-0","CCIS90443472ST-4-0","CCIS90903952ST-3-0","CCIS91228662ST-4-0","CCIS93040568ST-20-0","CCIS94417875ST-3-0","CCIS94496512ST-4-0","CCIS94603952ST-4-0","CCIS95097901ST-4-0","CCIS95409808ST-4-0","CCIS96387239ST-4-0","CCIS98482370ST-3-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",14501568,35086366,10399678,5600179,16656105,10019983,7942298,13240850,5669122,14030709,25562025,23933297,8317042,17699100,16625165,4835290,18708460,8541634,10451055,9183653,26671668,1307201,7272258,15532965,23749433,33870,10863240,17829439,18141243,34249768,6595543,10026958,4959301,10771081,7128097,3517448,19466659,24302256,39098264,680832,75630232,3052984,7260491,10376145,395092,13697042,17482715,3233624,3210685,20245720,10623385,19611283,2903318,12194531,9199459,22425095,2495369,11664952,10558659,16722181,27866487,12949393,11862109,21156130,16884503,2659074,27637040,2081004,21723315,6321818,10829428,26605352,14834966,10498432,10965825,51462064,12488060,29516436,13260976,6028216,9525328,21975801,12817,14973357,24011829,11482716,12319646,6869219,21327949,19297944,12908131,5923423,10127391,13678550,7127188,8823740,3695696,610478,8311396,17150016,52285139,18096471,21710136,19771234,3611847,42570527,1117334,3061618,28242002,47169835,12873328,18292366,11830542,39347086,18676805,36025590,24608503,29006428,16457597,6666857,11906290,34818016,13096115,9418446,15804583,23329005,1897516,16851644,980941,8265864,54524050,21539094,16742492,39520733,11175742,13219482,17092631,11106757,47673316,19637691,6771859,7171256,24261420,23557568,21579298,54280712,3887603,8687985,9117146,11177884,8789283,1802553,14492226,20878321,17174110,19602341,42505428,24599637,19376643,8926156,11549988,16171275,20586394,9114073,33950115,22630392,29125421,17054643,8212519,23923865,47029056,11770298,8335029,15258691,9551932,39934363,29093484,9617210,25775765,28671233,32114338,17415277,27222235,21294522,26486593,17294892,12366482,20422692,11888543,34018524,27048023,27807903,39784173,44235677,53623749,30551281,46816545,32531226,34745207
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",9170742,20188,6322949,8338,1271157,2151714,2297331,13015670,865101,10617872,4466010,3606986,314557,10985378,737330,220704,5216896,11142867,3593711,15313654,48864,40936,2540967,127557,339905,165428,9164301,11353576,2105333,1929604,8453716,12483,29370254,1386127,948595,6020506,13180933,1992531,1006473,4135285,3974205,521624,191832,163297,51392461,285417,1090325,7723064,867539,825866,1350014,2001387,355215,529349,2282246,487063,11113322,5615351,247569,1984635,67935,368009,13431365,3830698,13326214,690188,1661473,2302216,2195946,2912508,429204,2136574,542477,675239,5532978,272808,2110469,683974,211160,642021,7054195,782850,6847370,1234775,352437,888125,15480393,852499,2519180,2479369,3472743,8790737,2360180,2071049,296958,56392,379790,8095125,1342655,1384320,2055344,940334,5799727,1545255,1150056,696088,2126149,2391861,2407261,308158,2168078,768519,2179005,1273292,4266533,435610,7265947,3653310,5866808,1799723,54147,959441,3185875,39315657,5930766,2213773,6809925,397351,383077,721809,167847,2645748,2702278,49624,593247,1530400,890305,624872,1456781,12738636,11176575,11829247,1833056,1293067,8961,196630,1065807,2971035,5267019,6993271,6049267,4297582,8026245,239539,1304804,5842878,3674790,3823043,566796,870368,1653826,1079598,4209589,1428779,3544543,1391947,1181830,6135102,392578,5745502,245606,2524838,1653209,10927408,4632468,3522077,3093968,7675550,91184,2928679,624467,533156,310623,2324319,116681,3198656,12990807,3916661,866108,417897,2217480,1194469,4692342,433305,15079707,11660691,6506204,33289456,1558951
"k__Bacteria|p__Firmicutes|c__Negativicutes",2712942,1181005,9349743,12179,242964,506654,4961935,16588,21318,2345131,763058,2081964,232542,1554459,2255519,40300,781637,4489417,4400,819697,1412916,1638,1927,571422,2645776,13619027,2047709,2609415,14424454,1993422,938646,771971,177662,2911112,1761232,223572,16429,4107200,3928462,3607,20213,16710,787825,3677414,1052172,1200,14641052,523199,395585,5178069,971624,6129,1356821,6581,47857,3116348,27626,2644,1224640,876483,2987785,7896,33720,600393,446563,75178,36679,952608,377895,198677,1503637,435790,5347,143228,3269901,21209,1192549,2432296,66677,1828895,340984,5427312,9224,929,18268,937902,8256176,6195,1670108,301884,17542,194661,678389,1606823,118854,153444,475497,17372,2208757,3715531,1452546,6459,1795,1762760,614,1296093,16133,422901,25112,2793632,1177451,2195953,1008411,8953833,23427426,11282759,127883,8695147,3901674,2759443,1857959,507715,451801,2955623,1222864,4193,2472580,5497,217176,10518016,1926799,4242366,2401914,1421682,1023700,4706194,3988,529577,1636139,1220138,2317127,6536764,3019309,48385,1336809,8691071,347305,1463555,1715017,1881420,6012695,140425,2197178,1684424,1014982,5674,4226537,12506,455297,21474,18435103,354170,9133940,650513,1425,1599,6376431,2356598,12888682,2113002,12287271,623279,573251,4364203,1839590,8335472,2379553,5755217,285,46037,4091,2291331,2649180,687882,638461,1359899,1590464,59068,7311299,1868777,26143,3978722,36450,300599,90410,331037,12063141,4659676,37511
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",1416145,202075,670351,38152,509624,1048734,7497,603513,534653,684554,551005,0,31280,1325994,0,0,741282,30440,1070662,6719,22375,23243,16091513,0,0,415,3817,7298501,0,875603,862980,86247,18421,735528,501070,709434,4955,5968790,1390455,407370,36534023,8606,8070731,1397671,534835,0,712753,89621,139674,492265,3727,511668,5646,6083,6420,9470,0,5207692,0,71023,0,1164641,30426,589776,0,1008736,4364,948637,89879,9885027,3425,1018,564596,0,502498,3333071,564621,162085,167012,73016,14763,0,0,470673,1606035,5205,339,0,1527114,1634,3353114,658593,493,12594,160217,513987,1510847,1846117,0,50991,0,1304447,0,2556139,333133,16119,1079038,0,102,16044,32000,8482815,12358,0,6495,6398,0,12449,0,11559,513351,115079,1502,153438,1408800,3149439,808,0,13097,57741,35726,1852148,1467270,0,629145,873371,0,11820,0,641876,0,774852,2811007,2000654,1341123,56747,0,2211398,61110,0,2676,0,0,0,0,10111376,9998,3211803,3387,1150,11359258,5740,3015,743787,2046360,12270750,997234,2249655,30173,1313199,52937,4081839,3595,8505,0,2172,335430,33113,0,270667,605,12358780,1317132,107651,24842823,4444461,52223,344,7212,30596,50549,0,863059,7597,34905,19339975,0,5810,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",280590,165313,325611,46057,367874,200872,157388,593013,126032,0,491341,692270,72768,115629,31151,127622,1729513,803060,131886,374922,73085,0,153120,156242,418625,0,0,0,346834,805489,21352,0,168181,117253,227685,54028,0,173424,892793,44217,0,4671307,92774,94872,34965,0,253528,31940,18231,83178,82555,200193,528339,120829,35111,188320,152425,178697,811877,277877,216908,401786,415752,381373,235480,64720,125703,123281,247025,396806,88195,132068,0,0,123687,1587218,144437,174496,40841,38493,0,0,0,405818,243550,65119,60533,11935,497223,246101,92569,79156,0,292184,0,86101,102822,63325,144193,299611,635629,532651,0,40835,4750,200761,0,162097,58232,784460,19127,214663,40110,2414278,43429,339761,175765,7544,0,142986,272845,195573,0,163663,279400,164675,102836,43795,5981,725075,325255,793405,144788,91583,466832,4522686,587708,326707,959067,20659,50513,13214,3009532,286849,167668,1591206,14231,16458,159562,170156,375997,39504,3908,121220,364961,208884,925658,0,155702,293652,65574,126914,120099,7613,1580395,486237,330524,119596,510915,480865,788653,540961,115633,320301,88594,67491,191381,0,674,237916,347350,528524,514318,76246,0,126534,16872,149572,263836,0,480381,353154,332108,0,71761,1734769,0,271204,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria",226802,11831,1381022,1782,194851,15950,729265,891768,5065,8990,41064,445186,48201,117344,967165,0,12973,27772,100091,27753,974276,0,100367,189342,359901,0,318258,152112,116777,37836,20498,20556,18958,160872,38760,38227,153177,242379,411625,4748,0,304058,99822,303085,7579,9786,256907,68380,39454,74267,47396,9405,9492,201916,65180,345325,51637,6415,76808,47589,114543,5974,23386,1235216,245499,20373,0,0,150858,30304,106807,253602,0,36162,23648,3304,231854,543700,224774,64767,87883,33952,0,176013,296575,133503,17018,0,164008,36463,73898,59049,3120,129452,19867,88172,7433,1576,3895,365859,71132,0,12275,53141,98996,1797562,10377,16779,46134,992450,106184,250231,119636,1454534,224144,104089,29203,759277,476648,2341,12110,540344,91706,3401,8765,215962,98544,579362,10063,17309,256861,102207,583846,24369,60355,11120,293196,876057,0,142438,66244,16933,608882,304439,539015,147531,24177,66749,8841,109566,156733,4868,133337,46036,18905,517467,13687,64532,908000,77092,124724,244244,3511,28574,292844,226430,241074,1387461,244,74504,0,20969,27874,263040,285446,1463162,31628,19090,163178,1894204,2051790,73886,235615,196533,0,49623,44041,449703,43046,1001873,33242,2006857,20832,26590,5512421,4653188,0,2638003,1700996
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",105440,44265,68773,8263,310190,6591,256533,5910,285516,1228039,79303,552273,1673,2649241,145026,47018,92661,463126,556752,5701816,546302,0,2379330,110035,689617,1118818,1790831,489986,5014613,118267,281711,15587,94733,925600,861869,257434,18277872,490061,2145102,174571,124005,139,33374,54000,69958,36739,37375,10293439,341738,49920,42263,2324027,174385,57850,20828,718134,1002639,1033058,30076,987204,194885,134178,719836,36798,33838,148699,5219609,32187,121248,25892,73054,311363,1390414,0,15576,59897,2768575,210887,1547127,22698,44848,198999,1085449,1896589,3917,1087436,829377,295278,228141,1451865,282678,116646,2731919,20161,21297,73897,806352,125197,191821,1279080,1470296,1091018,93323,843838,114898,368236,87878,413959,392774,3121881,936081,1590028,8998446,7548165,1074304,635210,175676,7450687,86817,220102,770291,154534,1736737,3037563,23224,4110182,66687,277181,2633,297092,48861,44352,141146,176235,2860839,12160,101867,52566,264377,476358,2821487,1230008,79128,207490,15961,1480261,374194,277789,27009,10980,449449,737683,93630,52819,179208,29781,2315275,244893,2272044,171563,696607,266768,1896328,1589846,141553,80715,34024,34880,265831,252530,2030569,688501,98430,2517606,111158,1623289,266093,52731,31243,62012,818805,88977,70220,177023,29466,116665,2920999,33040,16383,755976,287630,28652,138551,236043,10300,98353,88700,121335,85842
"k__Bacteria|p__Firmicutes|c__Bacilli",83832,125291,964827,96062,2861508,2054190,169179,142080,546777,609551,6260052,4986882,32560,1698102,1052324,3321779,21300,1413319,688091,12200579,152112,8272,932637,948225,2700030,787462,142301,218345,17519938,1988215,12021648,146569,1376776,2957485,4641088,3308926,2957,1780082,825877,8076952,539373,0,35444,163229,1972327,48260,239466,17073561,499258,511071,1451489,1946800,972443,1305379,1612118,2733343,1839103,138874,238172,1572340,1354158,2039456,500145,899,518615,35181706,493947,1789857,1655944,2795,62133,6825488,1846741,19572,231849,134546,4685979,855764,107610,324901,1435097,1889649,715229,3256192,38976,1581949,638080,3080233,511979,267585,542323,100629,11864081,2910998,108195,625887,713075,3944791,4132843,6898575,1076858,1233504,27113673,2655406,1188519,789712,623751,333568,3895632,13643,1144918,4696438,1374316,2248018,427814,774005,977168,1037863,675143,74869,178272,2289112,749569,1209007,3385400,475598,3049319,223705,441311,269352,153722,186436,129561,9620,2036596,954,32740,7110761,1630763,1765884,13708698,3154544,107072,202565,89993,3404396,2139472,262349,886942,1661507,2507495,584079,107824,70041,1758273,80827,990011,319477,22453,207341,124718,1740602,2303756,494077,98250,189847,51575,21038,98969,579992,376428,344341,47409,33782,157242,109721,256711,142674,365322,875799,68299,97023,195998,737774,284509,361822,243935,848948,530840,409465,90853,69356,208127,1008324,549160,80933,326652,627744,226051
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",69019,6125,294037,56306,5279492,737591,33055,1391966,4505983,1740,122262,3001,36728,16576494,833620,40442,2975741,1343295,557941,8905614,0,2251,95453,73112,1277750,703946,100669,1558,2962636,4276,1004760,125597,14181,8780,52109,41981,0,11798,1302613,1817855,114386,46941,581364,350987,4687,431971,251979,40727,500770,441052,1173750,431197,23588620,5315,24953,633016,10838364,888044,1507143,1662028,610473,1218,3860068,199750,304335,292505,595432,38646,1738928,21096257,29889,2009221,2251389,51531,170852,31791,1063084,959379,31430,858769,29990,85839,59869,188738,18158,128535,84745,3146261,1503692,132835,38014,232215,215845,2543826,2255,178003,166322,143207,2258794,18854112,3464321,3497672,1705254,9817224,11940,1123287,80,142857,35008,0,174832,4928992,67724,385135,26754,2126619,108472,283643,407977,3480086,4638648,75759,57425,4076136,263026,1315781,11674,62268,0,945064,61956,701345,183697,2140738,325442,13495477,104583,431667,12042,5597202,1454176,182756,416685,33200,417792,723441,0,116542,810040,1380850,553837,1080397,107073,172815,2040712,16939,0,72887,62356,709263,141800,363770,140722,413224,56385,11694,2619,51052,225294,30742,7171,193120,19779,17073,126331,45039,961951,26706,360797,2506988,229640,2964242,39486,5723646,19825,448277,297161,1402298,80000,432317,14881,33151,100006,442404,40575,116262,298252,74070,224298
"k__Viruses|p__Viruses_noname|c__Viruses_noname",5297,60616,3243550,498,1760336,509386,876,0,0,0,47631,0,0,0,0,0,0,0,0,9024,292231,0,0,1002469,0,138807,0,0,1844222,205697,233409,21624,1277,17494,835436,0,8771,3055,84449,435535,152782,0,157541,525578,46658,851,2988,108135,140940,1822,0,4664,808059,0,0,0,22954,3453,119360,7956,596191,0,74347,0,116817,306,0,0,21546,0,212785,0,239917,0,10234,0,0,68350,0,30813,0,5028,85949,126189,0,1686,55480,112180,3968,13519,0,0,3580,1703645,5037,29699,47053,0,238972,2281136,1677458,5884,0,0,0,181079,38640,0,696900,0,56627,56327,1972,11173394,0,0,1513,0,389807,0,1352171,0,3953,214339,72723,0,462344,0,1649,0,477022,1911,0,0,52969,0,2927,691449,563034,290357,792,718594,0,1891161,430659,186743,0,113886,0,0,787018,2675,0,0,19231,7384,0,7930,0,939,1493,53171,2409117,0,3925,0,0,2114,0,0,0,327001,37504,0,0,701223,3166,980,0,318344,0,0,0,6721,3443,0,0,0,0,359843,0,31584,0,85147,0,0,3396,612279,977556
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname",1178,1958,0,0,4730,2200,1310,2591,4603,281,1484,0,0,0,0,0,0,0,0,4889,0,0,2860,8321,0,2378,0,0,0,817,25887,0,0,1307,0,2428,2387,0,8129,0,0,0,0,1423,2494,0,0,3569,0,0,420,12836,0,0,0,0,0,0,0,19833,2885,0,755,0,0,0,0,0,0,0,0,4028,0,0,0,0,0,14626,0,0,0,0,0,310,0,0,2390,0,0,0,0,0,1342,10087,0,0,0,16805,0,2414,0,0,0,6679,0,0,0,0,0,0,844,0,0,7921,0,0,0,0,0,0,1787,0,735,0,4022,0,16140,0,0,3370,0,0,0,0,0,0,0,0,0,1329,339,6315,0,0,0,0,0,0,0,0,0,0,0,1668,6019,0,351,0,336,0,0,0,5744,8479,0,0,0,0,3744,1423,0,11659,0,0,2182,0,0,2140,0,0,5907,0,0,0,0,0,56266,0,0,0,837,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales",47430072,10234942,54610520,4652226,44105065,26726743,47354491,30973310,10667800,37406825,27893542,29746770,10961919,22573499,43333448,31808407,24287271,25384311,43622786,42942228,7791398,2353491,11034807,44166703,18404388,25168998,21331763,13385552,15606025,45588795,39484925,21950027,14787465,60170276,30586652,78496434,39049885,44702743,46785162,52930164,16432838,4208099,12254840,29920147,41521075,37362598,12665326,42423144,22278004,23124392,37703963,28098432,16009114,56718660,33259678,21831628,38911010,5447116,37360308,49105661,15558194,71024355,13429776,27200921,42934407,17654903,37564005,33888890,54980329,8844424,24261561,45425454,21065040,1232555,16758450,19053963,25961853,22652548,17756353,26059191,44882683,24258289,12096239,57067077,10149040,42372946,42353312,35507282,26118534,15755983,16090115,15612040,18894049,34812386,15189922,20428446,14755845,83533123,37204509,26847188,66971688,11575555,5451549,28328987,18324323,40521962,7395752,8451708,42551551,40452679,54174584,4861705,34840350,63341349,27662708,101436216,35626091,38312363,49888061,41751109,20792102,55758480,47376052,27641388,45249895,50555378,81255057,26684603,6828740,21445470,22502525,41570689,10546676,17258423,26836089,11348784,6870299,37228150,29022124,20165926,32603880,32006538,25730705,41886148,27788311,22875976,5670747,22067740,22151386,46417278,25858082,54098592,9790270,21912158,22103310,33313716,26888899,32867353,39599906,25680679,19675431,34711882,22675772,70026996,24246918,43239845,43248910,25647791,36739082,28434998,48559268,36416358,22196560,30049524,54973936,22872691,17672502,46136574,24902564,35024313,37531866,33254881,39771784,27319047,17136475,24933983,33835500,44335770,40675182,27459838,31318264,36701037,74238544,21784920,55028245,63146893,112619843,73009754,65398030
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",14501568,35086366,10399678,5600179,16656105,10019983,7942298,13240850,5669122,14030709,25562025,23933297,8317042,17699100,16625165,4835290,18708460,8541634,10451055,9183653,26671668,1307201,7272258,15532965,23749433,33870,10863240,17829439,18141243,34249768,6595543,10026958,4959301,10771081,7128097,3517448,19466659,24302256,39098264,680832,75630232,3052984,7260491,10376145,395092,13697042,17482715,3233624,3210685,20245720,10623385,19611283,2903318,12194531,9199459,22425095,2495369,11664952,10558659,16722181,27866487,12949393,11862109,21156130,16884503,2659074,27637040,2081004,21723315,6321818,10829428,26605352,14834966,10498432,10965825,51462064,12488060,29516436,13260976,6028216,9525328,21975801,12817,14973357,24011829,11482716,12319646,6869219,21327949,19297944,12908131,5923423,10127391,13678550,7127188,8823740,3695696,610478,8311396,17150016,52285139,18096471,21710136,19771234,3611847,42570527,1117334,3061618,28242002,47169835,12873328,18292366,11830542,39347086,18676805,36025590,24608503,29006428,16457597,6666857,11906290,34818016,13096115,9418446,15804583,23329005,1897516,16851644,980941,8265864,54524050,21539094,16742492,39520733,11175742,13219482,17092631,11106757,47673316,19637691,6771859,7171256,24261420,23557568,21579298,54280712,3887603,8687985,9117146,11177884,8789283,1802553,14492226,20878321,17174110,19602341,42505428,24599637,19376643,8926156,11549988,16171275,20586394,9114073,33950115,22630392,29125421,17054643,8212519,23923865,47029056,11770298,8335029,15258691,9551932,39934363,29093484,9617210,25775765,28671233,32114338,17415277,27222235,21294522,26486593,17294892,12366482,20422692,11888543,34018524,27048023,27807903,39784173,44235677,53623749,30551281,46816545,32531226,34745207
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales",8973748,0,5085914,3809,707961,1839661,855470,12284087,107909,9958219,3352480,1291153,296471,10639212,649512,8409,4626266,9545346,1890844,11144778,0,1017,1392993,19641,6722,145401,7028403,9093333,766872,746053,6522445,0,28352540,1176761,348252,5027468,10872383,11524,209798,3026407,70379,1640,90244,127553,51006636,0,362520,3449682,653280,282809,238713,1002226,62545,11540,2072670,142258,9938879,4475866,12768,417130,1490,68971,12664487,3793418,12454912,466305,18798,1767729,311205,2692112,303230,1118924,35379,590945,5398142,244146,183897,172280,38362,267242,6823879,2172,0,10061,163287,762813,13888212,668530,2157250,1821806,3069407,8201342,522097,646687,193020,54066,83777,5556587,961782,27288,501369,276226,5727680,1169775,737916,276480,1997381,2003105,1733185,250105,1010361,524150,1079988,93659,1624768,4066,6041815,695879,5050268,1411424,0,235868,3037545,34207813,4870635,1694519,3821702,373658,294185,340401,123050,2327203,1694330,29923,148999,171148,844214,30997,3579,10359128,9633934,11307435,54470,490081,0,1364,981890,2595593,3182587,6358606,3281863,2912759,7205281,133489,0,2921128,2879608,3587979,43118,597529,1163179,876691,2993004,817264,2169871,0,896557,6059918,13485,4873380,27155,1279180,1294717,8687383,3979082,1926560,2845722,7354198,373,2580798,17832,290536,65504,1677508,1544,3027489,12069451,2918564,753478,19260,678298,1012945,4013291,17526,9154717,9899006,5781877,30230276,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales",2712942,1181005,9349743,12179,242964,506654,4961935,16588,21318,2345131,763058,2081964,232542,1554459,2255519,40300,781637,4489417,4400,819697,1412916,1638,1927,571422,2645776,13619027,2047709,2609415,14424454,1993422,938646,771971,177662,2911112,1761232,223572,16429,4107200,3928462,3607,20213,16710,787825,3677414,1052172,1200,14641052,523199,395585,5178069,971624,6129,1356821,6581,47857,3116348,27626,2644,1224640,876483,2987785,7896,33720,600393,446563,75178,36679,952608,377895,198677,1503637,435790,5347,143228,3269901,21209,1192549,2432296,66677,1828895,340984,5427312,9224,929,18268,937902,8256176,6195,1670108,301884,17542,194661,678389,1606823,118854,153444,475497,17372,2208757,3715531,1452546,6459,1795,1762760,614,1296093,16133,422901,25112,2793632,1177451,2195953,1008411,8953833,23427426,11282759,127883,8695147,3901674,2759443,1857959,507715,451801,2955623,1222864,4193,2472580,5497,217176,10518016,1926799,4242366,2401914,1421682,1023700,4706194,3988,529577,1636139,1220138,2317127,6536764,3019309,48385,1336809,8691071,347305,1463555,1715017,1881420,6012695,140425,2197178,1684424,1014982,5674,4226537,12506,455297,21474,18435103,354170,9133940,650513,1425,1599,6376431,2356598,12888682,2113002,12287271,623279,573251,4364203,1839590,8335472,2379553,5755217,285,46037,4091,2291331,2649180,687882,638461,1359899,1590464,59068,7311299,1868777,26143,3978722,36450,300599,90410,331037,12063141,4659676,37511
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",1416145,202075,670351,38152,509624,1048734,7497,603513,534653,684554,551005,0,31280,1325994,0,0,741282,30440,1070662,6719,22375,23243,16091513,0,0,415,3817,7298501,0,875603,862980,86247,18421,735528,501070,709434,4955,5968790,1390455,407370,36534023,8606,8070731,1397671,534835,0,712753,89621,139674,492265,3727,511668,5646,6083,6420,9470,0,5207692,0,71023,0,1164641,30426,589776,0,1008736,4364,948637,89879,9885027,3425,1018,564596,0,502498,3333071,564621,162085,167012,73016,14763,0,0,470673,1606035,5205,339,0,1527114,1634,3353114,658593,493,12594,160217,513987,1510847,1846117,0,50991,0,1304447,0,2556139,333133,16119,1079038,0,102,16044,32000,8482815,12358,0,6495,6398,0,12449,0,11559,513351,115079,1502,153438,1408800,3149439,808,0,13097,57741,35726,1852148,1467270,0,629145,873371,0,11820,0,641876,0,774852,2811007,2000654,1341123,56747,0,2211398,61110,0,2676,0,0,0,0,10111376,9998,3211803,3387,1150,11359258,5740,3015,743787,2046360,12270750,997234,2249655,30173,1313199,52937,4081839,3595,8505,0,2172,335430,33113,0,270667,605,12358780,1317132,107651,24842823,4444461,52223,344,7212,30596,50549,0,863059,7597,34905,19339975,0,5810,0
